Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_macd_color,Exit_macd_color,Entry_cross,Exit_cross
4877,698,748,1994.13,1989.42,1961.4262680000002,2036.8043820000003,-22970.670000000177,-0.0023619322712160606,1970-01-01 00:29:34.618200,1970-01-01 00:29:34.663200,0 days 00:00:00.045000,,0,1,False,False
-4877,748,755,1989.42,1989.67,2022.046488,1946.846412,-1219.25,-0.0001256647666154631,1970-01-01 00:29:34.663200,1970-01-01 00:29:34.669500,0 days 00:00:00.006300,,1,0,False,False
4876,755,776,1989.67,1998.43,1957.039412,2032.2489380000002,42713.75999999996,0.0044027401528896615,1970-01-01 00:29:34.669500,1970-01-01 00:29:34.688400,0 days 00:00:00.018900,,0,1,False,False
-4876,776,790,1998.43,2000.83,2031.204252,1955.663598,-11702.399999999336,-0.001200942740050781,1970-01-01 00:29:34.688400,1970-01-01 00:29:34.701000,0 days 00:00:00.012600,,1,1,False,True
4864,790,791,2000.83,1994.78,1968.016388,2043.647762,-29427.19999999978,-0.0030237451457645337,1970-01-01 00:29:34.701000,1970-01-01 00:29:34.701900,0 days 00:00:00.000900,,1,0,True,True
-4864,791,792,1994.78,1998.56,2027.4943919999998,1952.091708,-18385.919999999867,-0.001894945808560422,1970-01-01 00:29:34.701900,1970-01-01 00:29:34.702800,0 days 00:00:00.000900,,0,0,True,False
4846,792,794,1998.56,2041.3291840000002,1965.783616,2041.3291840000002,207259.4656640011,0.021400000000000086,1970-01-01 00:29:34.702800,1970-01-01 00:29:34.704600,0 days 00:00:00.001800,,0,0,False,False
-4890,807,842,2022.89,2003.39,2056.065396,1979.6001540000002,95355.0,0.009639673931849946,1970-01-01 00:29:34.716300,1970-01-01 00:29:34.747800,0 days 00:00:00.031500,,1,0,False,False
4985,842,857,2003.39,2000.69,1970.5344040000002,2046.2625460000004,-13459.500000000227,-0.0013477156220207398,1970-01-01 00:29:34.747800,1970-01-01 00:29:34.761300,0 days 00:00:00.013500,,0,1,False,False
-4985,857,866,2000.69,2003.02,2033.501316,1957.875234,-11615.049999999637,-0.0011645982136163635,1970-01-01 00:29:34.761300,1970-01-01 00:29:34.769400,0 days 00:00:00.008100,,1,0,False,False
4973,866,875,2003.02,1997.79,1970.170472,2045.8846280000002,-26008.790000000092,-0.0026110573034717754,1970-01-01 00:29:34.769400,1970-01-01 00:29:34.777500,0 days 00:00:00.008100,,0,1,False,False
-4973,875,882,1997.79,2002.81,2030.5537559999998,1955.037294,-24964.459999999908,-0.0025127766181629596,1970-01-01 00:29:34.777500,1970-01-01 00:29:34.783800,0 days 00:00:00.006300,,1,0,False,False
4948,882,889,2002.81,1988.35,1969.963916,2045.6701340000002,-71548.08000000018,-0.0072198561021764585,1970-01-01 00:29:34.783800,1970-01-01 00:29:34.790100,0 days 00:00:00.006300,,0,1,False,False
-4948,889,897,1988.35,1992.7,2020.9589399999998,1945.7993099999999,-21523.800000000676,-0.0021877436065080857,1970-01-01 00:29:34.790100,1970-01-01 00:29:34.797300,0 days 00:00:00.007200,,1,1,False,True
4927,897,898,1992.7,1988.67,1960.01972,2035.3437800000002,-19855.809999999867,-0.002022381693180142,1970-01-01 00:29:34.797300,1970-01-01 00:29:34.798200,0 days 00:00:00.000900,,1,1,True,False
-4927,898,900,1988.67,1991.9,2021.284188,1946.112462,-15914.21000000009,-0.0016242010992271183,1970-01-01 00:29:34.798200,1970-01-01 00:29:34.800000,0 days 00:00:00.001800,,1,0,False,False
4911,900,925,1991.9,1991.28,1959.2328400000001,2034.5266600000002,-3044.820000000581,-0.00031126060545216827,1970-01-01 00:29:34.800000,1970-01-01 00:29:34.822500,0 days 00:00:00.022500,,0,1,False,False
-4911,925,927,1991.28,1948.666608,2023.936992,1948.666608,209274.36811199988,0.021399999999999975,1970-01-01 00:29:34.822500,1970-01-01 00:29:34.824300,0 days 00:00:00.001800,,1,1,False,False
4977,934,949,2006.76,2049.7046640000003,1973.849136,2049.7046640000003,213735.59272800165,0.021400000000000086,1970-01-01 00:29:34.830600,1970-01-01 00:29:34.844100,0 days 00:00:00.013500,,0,0,False,False
-4989,957,967,2044.77,2065.92,2078.304228,2001.0119220000001,-105517.35000000046,-0.010343461611819427,1970-01-01 00:29:34.851300,1970-01-01 00:29:34.860300,0 days 00:00:00.009000,,1,0,False,False
4887,967,970,2065.92,2055.57,2032.0389120000002,2110.130688,-50580.44999999955,-0.0050098745353159835,1970-01-01 00:29:34.860300,1970-01-01 00:29:34.863000,0 days 00:00:00.002700,,0,1,False,False
-4887,970,980,2055.57,2070.71,2089.281348,2011.5808020000002,-73989.17999999938,-0.007365353648866257,1970-01-01 00:29:34.863000,1970-01-01 00:29:34.872000,0 days 00:00:00.009000,,1,0,False,False
4816,980,987,2070.71,2067.09,2036.750356,2115.0231940000003,-17433.919999999474,-0.0017481926488981392,1970-01-01 00:29:34.872000,1970-01-01 00:29:34.878300,0 days 00:00:00.006300,,0,1,False,False
-4816,987,996,2067.09,2073.42,2100.990276,2022.8542740000003,-30485.27999999965,-0.003062275953151561,1970-01-01 00:29:34.878300,1970-01-01 00:29:34.886400,0 days 00:00:00.008100,,1,0,False,False
4786,996,998,2073.42,2063.11,2039.4159120000002,2117.791188,-49343.65999999974,-0.004972460958223568,1970-01-01 00:29:34.886400,1970-01-01 00:29:34.888200,0 days 00:00:00.001800,,0,1,False,False
